mess_datum;stations_id;tmk;altitude;latitude;longitude;name;state
2018-05-11;1078;13.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-12;1078;18.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-13;1078;14.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-14;1078;18.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-15;1078;18.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-16;1078;17.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-17;1078;12.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-18;1078;12.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-19;1078;11.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-20;1078;16.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-21;1078;19.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-22;1078;18;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-23;1078;18.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-24;1078;18;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-25;1078;19.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-26;1078;22.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-27;1078;21;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-28;1078;23.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-29;1078;22.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-30;1078;21.5;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-05-31;1078;21.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-01;1078;18.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-02;1078;18.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-03;1078;19.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-04;1078;20.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-05;1078;17.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-06;1078;21.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-07;1078;21.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-08;1078;19.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-09;1078;21.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-10;1078;21.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-11;1078;19.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-12;1078;16.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-13;1078;14.6;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-14;1078;15.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-15;1078;18.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-16;1078;18.7;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-17;1078;16.4;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-18;1078;18.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-19;1078;18.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-20;1078;22.3;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-21;1078;15.9;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-22;1078;13.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-23;1078;13.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-24;1078;15.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-25;1078;17.1;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-26;1078;15.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-27;1078;19.2;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
2018-06-28;1078;21.8;37;51.296;6.7686;Düsseldorf;Nordrhein-Westfalen
